,1_3m,2_3m,3_3m,6_3m,7_3m,8_3m,10_3m,12_3m,13_3m,14_4m,15_3m,16_4m
depth.m,3,3,3,3,3,3,3,3,3,4,3,4
Lat,54.0893,54.9667,55.4662,56.5018,56.994,57.261,57.3173,57.4887,57.8305,58.1657,58.9985,59.9848
Long,7.9327,7.6058,7.2852,7.5015,7.2925,8.732,9.0008,7.1,6.9185,5.1693,3.9232,3.036
Temp,18.31,15.8,14.77,15.7,15.19,14.78,15.33,15.45,16.51,14.65,14.56,14.51
Sal,29.83,32.25,33.42,33.22,33.11,33.41,33.17,31.87,30.06,32.57,31.86,32.17
Fluores,0.76,0.62,0.38,0.39,0.39,1.49,1.54,0.36,0.5,0.57,0.4,0.47
oxygen,6.12,5.31,5.28,5.72,5.73,5.94,5.87,5.7,5.59,5.75,5.75,5.86
chla,2.01,1.3,0.53,0.79,0.28,1.6,3.16,0.22,0.47,0.61,0.3,0.46
phaeo,0.79,0.49,0.38,0.25,0.19,0.61,0.46,0.13,0.03,0.07,0.1,0.04
cellcounts.mio,1.66,1.6,0.76,0.97,0.86,0.72,0.67,0.58,0.82,1.1,0.91,1.14
BP,712.7,321.6,155.2,420,149.4,252.6,316.4,161.8,147,108.3,183.6,196.8
DOC.uM,169.48,125.67,105.26,110.36,97.57,101.48,111.37,128.27,148.76,108.54,105.84,98.23
TDN.uM,20.47,13.58,9.87,10.74,7,7.03,4.4,5.14,5.72,4.81,7.93,6.53
dist.from.st1,0,99.82,158.6,269.6,325.5,356.2,365.1,381.6,420.8,464.4,598.4,718.9
